protectionist,age,female,TUmember,partyid,ideology,schooling
1,53,0,1,1,2,12
0,53,0,0,6,0,16
1,38,0,0,1,0,12
0,38,1,0,1,2,17
1,61,0,0,4,0,12
1,27,1,0,0,0,12
1,36,0,0,2,2,14
0,39,0,0,1,0,12
1,54,0,1,0,0,9
0,75,0,0,2,0,11
0,18,1,0,1,2,13
1,20,0,0,5,0,14
0,54,0,0,6,0,14
0,53,1,0,4,0,14
1,53,1,0,6,0,12
1,44,0,0,1,2,17
0,36,1,0,1,0,15
0,44,0,0,3,0,17
0,45,0,0,4,0,16
1,45,0,0,6,0,12
1,57,0,0,2,0,16
1,22,1,0,2,0,12
1,70,1,0,0,0,12
0,42,0,0,6,0,16
0,66,0,0,5,0,17
0,36,1,0,0,2,16
0,55,1,0,2,2,17
1,24,1,0,1,2,17
1,55,0,0,5,0,12
0,76,0,0,5,0,11
1,65,1,0,2,0,8
1,44,0,0,5,2,14
1,85,1,0,6,0,12
1,59,0,1,6,0,14
0,41,1,0,5,0,11
0,72,1,0,2,0,13
0,38,0,0,6,0,16
0,60,0,0,0,0,17
